Branch,Installation,City/Area,State/Country,Latitude,Longitude,Combatant Command,Major Command,Primary Combat Units,Approx Personnel,Aircraft / Major Combat Systems,Notes
Army,Fort Liberty (formerly Fort Bragg),Fayetteville,North Carolina,35.139044,-78.999123,NORTHCOM / SOCOM,FORSCOM / USASOC,XVIII Airborne Corps; 82nd Airborne Division; USASOC; JSOC; 3rd SFG,"~54,000",AH-64E Apache; UH-60M; CH-47F; MH-60/MH-47 (160th SOAR det.); M119A3,Largest US military installation by population.
Army,Fort Campbell,Fort Campbell (Hopkinsville / Clarksville),Kentucky / Tennessee,36.654817,-87.478958,NORTHCOM / SOCOM,FORSCOM / USASOC,101st Airborne Division (Air Assault); 160th SOAR; 5th SFG,"~30,000",UH-60M; CH-47F; AH-64E; MH-60M; MH-47G; MQ-1C,Only air assault division in the Army.
Army,Fort Cavazos (formerly Fort Hood),Killeen,Texas,31.135242,-97.777412,NORTHCOM,FORSCOM,III Armored Corps; 1st Cavalry Division,"~36,000",M1A2 SEPv3 Abrams; M2A4 Bradley; M109A7 Paladin; AH-64E; UH-60M,Largest armored installation.
Army,Fort Stewart / Hunter AAF,Hinesville,Georgia,31.869092,-81.608750,NORTHCOM,FORSCOM,3rd Infantry Division; 3rd Combat Aviation Brigade,"~24,000",M1A2 Abrams; M2 Bradley; AH-64E; UH-60M; CH-47F,East Coast heavy division.
Army,Fort Bliss,El Paso,Texas,31.810556,-106.423056,NORTHCOM,FORSCOM,1st Armored Division; 32nd Army Air and Missile Defense Command,"~27,000",M1A2 Abrams; M2 Bradley; Patriot PAC-3; THAAD; AH-64E,Primary air and missile defense concentration.
Army,Fort Carson,Colorado Springs,Colorado,38.737467,-104.789128,NORTHCOM / SOCOM,FORSCOM / USASOC,4th Infantry Division; 10th Special Forces Group; 4th Security Force Assistance Brigade,"~26,000",M1A2 Abrams; M2 Bradley; Stryker; AH-64E; UH-60M,Mountain Post.
Army,Fort Riley,Junction City,Kansas,39.055278,-96.820278,NORTHCOM,FORSCOM,1st Infantry Division; Combat Aviation Brigade,"~18,000",M1A2 Abrams; M2 Bradley; AH-64E; UH-60M; CH-47F,The Big Red One.
Army,Fort Drum,Watertown,New York,44.053889,-75.765556,NORTHCOM,FORSCOM,10th Mountain Division; 10th Combat Aviation Brigade,"~19,000",UH-60M; CH-47F; AH-64E; M119A3,Most-deployed division of the post-9/11 era.
Army,Joint Base Lewis-McChord (Army),Tacoma,Washington,47.110556,-122.580833,INDOPACOM,FORSCOM / USASOC,I Corps; 7th Infantry Division; 1st Special Forces Group (Airborne); 2nd Bn 75th Ranger Regt; 1st MDTF,"~40,000 (joint base)",Stryker ICV; M777; AH-64E; UH-60M; CH-47F,I Corps is the Army's Indo-Pacific-oriented corps.
Army,Fort Moore (formerly Fort Benning),Columbus,Georgia,32.353611,-84.969444,NORTHCOM / SOCOM,TRADOC / USASOC,Maneuver Center of Excellence; 75th Ranger Regiment HQ; 3rd Bn 75th Ranger,"~35,000",M1A2 Abrams; M2 Bradley (training fleet),Infantry and Armor schools; Ranger School.
Army,Fort Sill,Lawton,Oklahoma,34.667778,-98.406944,NORTHCOM,TRADOC / FORSCOM,Fires Center of Excellence; 31st Air Defense Artillery Brigade,"~20,000",M109A7 Paladin; HIMARS; Patriot PAC-3; Avenger,Artillery and air defense training center.
